,contig_id,e-value,sample_id,seq_length,taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project Type,GOLD Sequencing Project ID,Geographic Location,Latitude,Longitude,Oxygen Concentration,pH,Salinity,Salinity Concentration,Sample Collection Temperature,Genome Size   * assembled,Gene Count   * assembled,Genome Bin Count   * assembled,temperature_num,pH_num,pH_low,pH_high,pH_avg,pH_range
14,YNPsite18_CeleraDRAFT_210790,1.3e-112,2022920019,251,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
15,YNPsite18_CeleraDRAFT_150690,1.4e-108,2022920019,281,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
16,YNPsite18_CeleraDRAFT_163730,9.4e-108,2022920019,261,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
17,YNPsite18_CeleraDRAFT_236050,8e-105,2022920019,245,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
18,YNPsite18_CeleraDRAFT_523990,3.9e-94,2022920019,223,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
19,YNPsite18_CeleraDRAFT_05190,7.8e-78,2022920019,240,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
20,YNPsite18_CeleraDRAFT_506060,2.1e-65,2022920019,165,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
21,YNPsite18_CeleraDRAFT_383840,2.7000000000000003e-65,2022920019,197,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
22,YNPsite18_CeleraDRAFT_462390,5.8000000000000004e-65,2022920019,181,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
23,YNPsite18_CeleraDRAFT_244920,4.7e-62,2022920019,193,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
24,YNPsite18_CeleraDRAFT_377450,5.4e-54,2022920019,244,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
25,YNPsite18_CeleraDRAFT_21810,1.8e-49,2022920019,226,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
26,YNPsite18_CeleraDRAFT_491420,3.5e-45,2022920019,181,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
27,YNPsite18_CeleraDRAFT_327570,9.2e-45,2022920019,143,2022920019,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2022920019.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,29273225,53782,1.0,76.0,6.4,6.4,6.4,6.4,0.0
28,draft_100005912,5e-200,3300002851,532,3300002851,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Hot spring microbial communities from Dewar Creek, Canada",McGill University,3300002851.0,Metagenome Analysis,Gp0094514,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,78 C,110407393,181420,0.0,78.0,8.0,8.0,8.0,8.0,0.0
29,draft_10001164,6e-199,3300002851,532,3300002851,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Hot spring microbial communities from Dewar Creek, Canada",McGill University,3300002851.0,Metagenome Analysis,Gp0094514,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,78 C,110407393,181420,0.0,78.0,8.0,8.0,8.0,8.0,0.0
30,draft_100025517,1e-189,3300002851,528,3300002851,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Hot spring microbial communities from Dewar Creek, Canada",McGill University,3300002851.0,Metagenome Analysis,Gp0094514,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,78 C,110407393,181420,0.0,78.0,8.0,8.0,8.0,8.0,0.0
31,draft_100015143,6.699999999999999e-166,3300002851,520,3300002851,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Hot spring microbial communities from Dewar Creek, Canada",McGill University,3300002851.0,Metagenome Analysis,Gp0094514,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,78 C,110407393,181420,0.0,78.0,8.0,8.0,8.0,8.0,0.0
32,draft_100026748,3.2000000000000003e-71,3300002851,188,3300002851,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Hot spring microbial communities from Dewar Creek, Canada",McGill University,3300002851.0,Metagenome Analysis,Gp0094514,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,78 C,110407393,181420,0.0,78.0,8.0,8.0,8.0,8.0,0.0
33,draft_100026747,2.6e-64,3300002851,239,3300002851,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Hot spring microbial communities from Dewar Creek, Canada",McGill University,3300002851.0,Metagenome Analysis,Gp0094514,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,78 C,110407393,181420,0.0,78.0,8.0,8.0,8.0,8.0,0.0
34,Ga0197143_10090712,1.7e-202,3300020139,502,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
35,Ga0197143_10036594,1.2999999999999999e-197,3300020139,520,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
36,Ga0197143_10011623,1.3e-193,3300020139,515,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
37,Ga0197143_10150051,4.1e-192,3300020139,484,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
38,Ga0197143_10105911,1.5e-190,3300020139,475,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
39,Ga0197143_10042264,2.8000000000000002e-186,3300020139,527,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
40,Ga0197143_100099412,2.9e-183,3300020139,491,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
41,Ga0197143_100168413,2.6e-182,3300020139,573,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
42,Ga0197143_100004284,2.4e-177,3300020139,520,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
43,Ga0197143_100004283,3.2e-169,3300020139,556,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
44,Ga0197143_10018523,6.500000000000001e-168,3300020139,501,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
45,Ga0197143_10105781,2.6000000000000003e-167,3300020139,519,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
46,Ga0197143_100323010,5.6e-145,3300020139,511,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
47,Ga0197143_10229281,2.2e-144,3300020139,388,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
48,Ga0197143_10223391,2.7999999999999998e-140,3300020139,366,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
49,Ga0197143_100221310,6.2e-139,3300020139,576,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
50,Ga0197143_100038125,1.2e-137,3300020139,590,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
51,Ga0197143_10068952,5.2e-137,3300020139,575,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
52,Ga0197143_100049350,3e-136,3300020139,624,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
53,Ga0197143_10131301,2.9e-115,3300020139,271,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
54,Ga0197143_10413532,4.6999999999999995e-112,3300020139,339,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
55,Ga0197143_10074174,9.800000000000001e-110,3300020139,275,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
56,Ga0197143_10240434,2.4e-97,3300020139,229,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
57,Ga0197143_10332562,7.5e-94,3300020139,376,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
58,Ga0197143_10634511,9.899999999999999e-92,3300020139,261,3300020139,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Sediment microbial communities from Great Boiling Springs, Gerlach, Nevada, United States - GBS 70_MetaG",DOE Joint Genome Institute (JGI),3300020139.0,Metagenome Analysis,Gp0220148,USA: Nevada,40.6614,-119.3661,,,,,70 C,297862735,472175,40.0,70.0,,,,,
