taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project Type,GOLD Sequencing Project ID,Geographic Location,Latitude,Longitude,Oxygen Concentration,pH,Salinity,Salinity Concentration,Sample Collection Temperature,Genome Size   * assembled,Gene Count   * assembled,Genome Bin Count   * assembled,temperature_num,pH_num,pH_low,pH_high,pH_avg,pH_range
641228488,Bacteria,Finished,Deinococcus geothermalis Sequencing,Deinococcus geothermalis DSM 11300,DOE Joint Genome Institute (JGI),641228488.0,Genome Analysis (Isolate),Gp0000350,Hot spring at Agnano in Naples Italy,40.833568,14.162399,,,,,45 C,3247018,3148,0.0,45.0,,,,,
641522657,Archaea,Finished,Pyrobaculum genomes,Pyrobaculum neutrophilum V24Sta,DOE Joint Genome Institute (JGI),641522657.0,Genome Analysis (Isolate),Gp0002327,Hot spring in Iceland,,,,,,,85 C,1769823,2053,0.0,85.0,,,,,
642555121,Bacteria,Finished,"Chlorobia, 8 species",Chlorobium limicola DSM 245,DOE Joint Genome Institute (JGI),642555121.0,Genome Analysis (Isolate),Gp0001323,,,,,,,,25 C,2763181,2576,0.0,25.0,,,,,
643348527,Bacteria,Finished,"Chloroflexi, 7 species",Chloroflexus aggregans DSM 9485,DOE Joint Genome Institute (JGI),643348527.0,Genome Analysis (Isolate),Gp0001327,Hot spring in Japan,,,,,,,55 C,4684931,3895,0.0,55.0,,,,,
643348542,Bacteria,Finished,"Dictyoglomus thermophilum H-6-12, ATCC 35947","Dictyoglomus thermophilum H-6-12, ATCC 35947",J. Craig Venter Institute (JCVI),643348542.0,Genome Analysis (Isolate),Gp0001380,Slightly alkaline Tsuetae Hot spring in Kumamoto Prefecture in Japan,32.789827,130.741667,,,,,70 C,1959987,1964,0.0,70.0,,,,,
643348543,Bacteria,Finished,Obsidian Hot Spring Microbial Community Genomics,Dictyoglomus turgidum DSM 6724,DOE Joint Genome Institute (JGI),643348543.0,Genome Analysis (Isolate),Gp0000002,"Kamchatka, USSR",54.517335,159.973068,,,Undefined,,75 C,1855560,1865,0.0,75.0,,,,,
643348581,Bacteria,Finished,Thermodesulfovibrio yellowstonii DSM 11347,Thermodesulfovibrio yellowstonii DSM 11347,J. Craig Venter Institute (JCVI),643348581.0,Genome Analysis (Isolate),Gp0002106,Thermal vent in Yellowstone Lake in Wyoming,44.453591,-110.358796,,,,,60 C,2003803,2083,0.0,60.0,,,,,
643348582,Bacteria,Finished,Thermomicrobium roseum DSM 5159,Thermomicrobium roseum DSM 5159,J. Craig Venter Institute (JCVI),643348582.0,Genome Analysis (Isolate),Gp0002108,Toadstool Spring in Yellowstone National Park,44.376262,-110.690383,,,,,70 C,2920744,2901,0.0,70.0,,,,,
643692002,Bacteria,Finished,Anaerocellum thermophilum,Caldicellulosiruptor bescii DSM 6725,DOE Joint Genome Institute (JGI),643692002.0,Genome Analysis (Isolate),Gp0003795,Hot spring on the Kamchatka peninsula in Russia,,,,3-4,,,,2931662,2832,0.0,,,3.0,4.0,3.5,1.0
643692015,Bacteria,Finished,"Chloroflexi, 7 species",Chloroflexus aurantiacus Y-400-fl,DOE Joint Genome Institute (JGI),643692015.0,Genome Analysis (Isolate),Gp0001329,Alkaline hot spring in Little Long Lake in Wisconsin,45.424979,-88.771304,,,,,48 C,5268950,4305,0.0,48.0,,,,,
643692044,Archaea,Finished,LGT in Sulfolobus islandicus,Sulfolobus islandicus L.S.2.15,DOE Joint Genome Institute (JGI),643692044.0,Genome Analysis (Isolate),Gp0002338,Lassen National Park in California,40.5126,-121.4347,,2.7,,,,2736272,3068,0.0,,2.7,2.7,2.7,2.7,0.0
643692045,Archaea,Finished,LGT in Sulfolobus islandicus,Sulfolobus islandicus M.14.25,DOE Joint Genome Institute (JGI),643692045.0,Genome Analysis (Isolate),Gp0002334,Mutnovsky Volcano on the Kamchatka Penninsula in the Russian Far East,52.45785,158.196201,,2,,,,2608832,2900,0.0,,2.0,2.0,2.0,2.0,0.0
643692050,Bacteria,Finished,Sulfurihydrogenibium azorense Az-Fu1,Sulfurihydrogenibium azorense Az-Fu1,J. Craig Venter Institute (JCVI),643692050.0,Genome Analysis (Isolate),Gp0002087,"Terrestrial hot spring from Furnas, Azores Portugal",37.765221,-25.30756,,,,,68 C,1640877,1768,0.0,68.0,,,,,
644736322,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Acidimicrobium ferrooxidans ICP, DSM 10331",DOE Joint Genome Institute (JGI),644736322.0,Genome Analysis (Isolate),Gp0001191,Krmsuvik geothermal area,63.93,-22.1,,,,,45 C,2158157,2092,0.0,45.0,,,,,
644736325,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Alicyclobacillus acidocaldarius acidocaldarius 104-IA, DSM 446",DOE Joint Genome Institute (JGI),644736325.0,Genome Analysis (Isolate),Gp0001190,"Nymph Creek, Yellowstone National Park, USA",44.376,-110.69,,3-4,,,60 C,3205686,3235,0.0,60.0,,3.0,4.0,3.5,1.0
645058872,Bacteria,Permanent Draft,Bath Hot Springs Thermophage,Thermus aquaticus Y51MC23,DOE Joint Genome Institute (JGI),645058872.0,Genome Analysis (Isolate),Gp0000004,"Yellowstone National Park, Wyoming, USA",44.560318,-110.8228244,,7.5-7.8,,,88 C,2338193,2595,0.0,88.0,,7.5,7.8,7.65,0.2999999999999998
646311904,Bacteria,Finished,Ammonifex degensii KC4 Proposal # CSP2006-060510,Ammonifex degensii KC4,DOE Joint Genome Institute (JGI),646311904.0,Genome Analysis (Isolate),Gp0000934,,,,,,,,70 C,2157067,2239,0.0,70.0,,,,,
646311949,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Rhodothermus marinus R-10, DSM 4252",DOE Joint Genome Institute (JGI),646311949.0,Genome Analysis (Isolate),Gp0001173,"Submarine hot spring at Reykajanes, Isafjardardjup Bay, off cost of Iceland",63.88,-22.5,,7,Halophile,,65 C,3386737,2965,0.0,65.0,7.0,7.0,7.0,7.0,0.0
646564546,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Meiothermus silvanus VI-R2, DSM 9946",DOE Joint Genome Institute (JGI),646564546.0,Genome Analysis (Isolate),Gp0001179,"Vizela, Portugal",41.38,-8.32,,8-8.5,,,50 C,3721669,3720,0.0,50.0,,8.0,8.5,8.25,0.5
646564579,Bacteria,Finished,DOEM_782007,"Thermoanaerobacter italicus Ab9, DSM 9252",DOE Joint Genome Institute (JGI),646564579.0,Genome Analysis (Isolate),Gp0002294,"Mud, thermal spa; Italy, Abano Terme",45.360542,11.789381,,,,,65 C,2451061,2477,0.0,65.0,,,,,
646564580,Bacteria,Finished,DOEM_782007,"Thermoanaerobacter mathranii mathranii A3, DSM 11426",DOE Joint Genome Institute (JGI),646564580.0,Genome Analysis (Isolate),Gp0003526,Hot spring from Hverdagerdi-Hengil area in Iceland,,,,4.7-8.8,,,70 C,2306092,2361,0.0,70.0,,4.7,8.8,6.75,4.1000000000000005
646564583,Archaea,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Thermosphaera aggregans M11TL, DSM 11486",DOE Joint Genome Institute (JGI),646564583.0,Genome Analysis (Isolate),Gp0003688,Hot spring from Obsidian Pool at Yellowstone Natl. Park,44.806,-110.448,,6.5,,,85 C,1316595,1457,0.0,85.0,6.5,6.5,6.5,6.5,0.0
646564586,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Truepera radiovictrix RQ-24, DSM 17093",DOE Joint Genome Institute (JGI),646564586.0,Genome Analysis (Isolate),Gp0003690,"Sao Miguel, Azores, Portugal",37.946,-25.49,,7.5-7.9,,,45 C,3260398,3046,0.0,45.0,,7.5,7.9,7.7,0.40000000000000036
646862347,Archaea,Finished,Obsidian Hot Spring Microbial Community Genomics,Saccharolobus solfataricus 98/2,DOE Joint Genome Institute (JGI),646862347.0,Genome Analysis (Isolate),Gp0003522,"Yellowstone National Park, WY, USA",44.603028,-110.865194,,2-4.5,,,,2668974,2728,0.0,,,2.0,4.5,3.25,2.5
647533208,Bacteria,Permanent Draft,Ruegeria lacuscaerulensis ITI-1157,Ruegeria lacuscaerulensis ITI-1157,J. Craig Venter Institute (JCVI),647533208.0,Genome Analysis (Isolate),Gp0003696,"Blue Lagoon, Iceland",63.879,-22.434,,7,Halophile,,45 C,3523710,3677,0.0,45.0,7.0,7.0,7.0,7.0,0.0
648028003,Archaea,Finished,Acidilobus saccharovorans 345-15,Acidilobus saccharovorans 345-15,"Russian Academy of Science, Centre Bioengineering",648028003.0,Genome Analysis (Isolate),Gp0003977,acidic hot springs of Kamchatka Peninsula,54.5,159.96,,3.5-4,,,80 C,1496453,1547,0.0,80.0,,3.5,4.0,3.75,0.5
648028013,Bacteria,Finished,Caldicellulosiruptor sp. OB47,Caldicellulosiruptor obsidiansis OB47,DOE Joint Genome Institute (JGI),648028013.0,Genome Analysis (Isolate),Gp0006244,"Obsidian Pool, Yellowstone National Park",44.630844,-110.440292,,7,,,,2532343,2389,0.0,,7.0,7.0,7.0,7.0,0.0
648028035,Archaea,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Ignisphaera aggregans AQ1.S1, DSM 17230",DOE Joint Genome Institute (JGI),648028035.0,Genome Analysis (Isolate),Gp0003222,"hot springs in Rotorua and Tokaanu, New Zealand",-38.131667,176.241944,,6.4,,,92 C,1875953,2042,0.0,92.0,6.4,6.4,6.4,6.4,0.0
648028053,Bacteria,Finished,Spirochaeta thermophila DSM 6192,Spirochaeta thermophila DSM 6192,University of Gottingen,648028053.0,Genome Analysis (Isolate),Gp0003655,Kermadec archipelago,-29.266667,-177.916667,,,,,65 C,2472645,2255,0.0,65.0,,,,,
648028062,Archaea,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Vulcanisaeta distributa DSM 14429,DOE Joint Genome Institute (JGI),648028062.0,Genome Analysis (Isolate),Gp0003691,"Kanagawa, Ohwakudani, Japan",35.447,139.642,,4-4.5,,,90 C,2374137,2592,0.0,90.0,,4.0,4.5,4.25,0.5
649633022,Bacteria,Finished,BESC Fast Track Microbial Sequencing,Caldicellulosiruptor hydrothermalis 108,DOE Joint Genome Institute (JGI),649633022.0,Genome Analysis (Isolate),Gp0005759,"Kamchatka, Russia",,,,7,,,65 C,2770676,2685,0.0,65.0,7.0,7.0,7.0,7.0,0.0
649633023,Bacteria,Finished,BESC Fast Track Microbial Sequencing,"Caldicellulosiruptor kristjanssonii 177R1B, DSM 12137",DOE Joint Genome Institute (JGI),649633023.0,Genome Analysis (Isolate),Gp0006609,Iceland,,,,,,,70 C,2802443,2707,0.0,70.0,,,,,
649633024,Bacteria,Finished,BESC Fast Track Microbial Sequencing,Caldicellulosiruptor kronotskyensis 2002,DOE Joint Genome Institute (JGI),649633024.0,Genome Analysis (Isolate),Gp0008860,"Kamchatka peninsula, Geyser Valley",54.108,159.427,,7,,,70 C,2843785,2642,0.0,70.0,7.0,7.0,7.0,7.0,0.0
649633026,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Calditerrivibrio nitroreducens Yu37-1, DSM 19672",DOE Joint Genome Institute (JGI),649633026.0,Genome Analysis (Isolate),Gp0004498,"Yumata, Nagano, Japan",36.829,138.217,,7-7.5,,,55 C,2216552,2177,0.0,55.0,,7.0,7.5,7.25,0.5
649989953,Archaea,Permanent Draft,Haladaptatus paucihalophilus DX253,Haladaptatus paucihalophilus DX253,Oklahoma State University,649989953.0,Genome Analysis (Isolate),Gp0008307,"Zodletone Spring, south-western Oklahoma, Zodletone Spring, USA",35.059529,-98.470459,,,Halophile,,30 C,4284805,4496,0.0,30.0,,,,,
649990020,Archaea,Permanent Draft,Sulfolobus solfataricus 98/2,Saccharolobus solfataricus 98/2,Washington State University,649990020.0,Genome Analysis (Isolate),Gp0004276,"Yellowstone National Park, WY, USA",44.603028,-110.865194,,2-4.5,,,,2680466,3150,0.0,,,2.0,4.5,3.25,2.5
650716051,Archaea,Finished,Metallosphaera cuprina Ar-4,Metallosphaera cuprina Ar-4,Chinese Academy of Sciences,650716051.0,Genome Analysis (Isolate),Gp0010862,"Tengchong, Yunnan, China",25.083,98.489,,3.5,,,,1840348,2077,0.0,,3.5,3.5,3.5,3.5,0.0
650716095,Bacteria,Finished,DOEM_782007,"Thermoanaerobacterium xylanolyticum LX-11, DSM 7097",DOE Joint Genome Institute (JGI),650716095.0,Genome Analysis (Isolate),Gp0002293,"Yellowstone National Park, WY",44.7532,-110.7227,,,,,60 C,2534358,2491,0.0,60.0,,,,,
2007309000,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone Bath Hot Springs, Wyoming, USA - Filamentous sample",DOE Joint Genome Institute (JGI),2007309000.0,Metagenome Analysis,Gp0051059,USA: Wyoming,44.560318,-110.8338344,,9.3,,,86 C,10490501,14864,1.0,86.0,9.3,9.3,9.3,9.3,0.0
2007309001,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring planktonic communities from Yellowstone Bath Hot Springs, Wyoming, USA",DOE Joint Genome Institute (JGI),2007309001.0,Metagenome Analysis,Gp0051060,USA: Wyoming,44.560318,-110.8338344,,9.3,,,86 C,20451936,29804,0.0,86.0,9.3,9.3,9.3,9.3,0.0
2009439000,*Microbiome,Draft,"Hot spring microbial communities from Bison Spring, Yellowstone National Park, USA, analyzing thermal gradients",2_050719S,DOE Joint Genome Institute (JGI),2009439000.0,Metagenome Analysis,Gp0050992,"Bison Pool / Rosette Geyser, Yellowstone National Park",44.5696298,-110.8651817,,,,,85 C,31802272,51132,1.0,85.0,,,,,
2009439003,*Microbiome,Draft,"Hot spring microbial communities from Bison Spring, Yellowstone National Park, USA, analyzing thermal gradients",1_050719N,DOE Joint Genome Institute (JGI),2009439003.0,Metagenome Analysis,Gp0050995,"Bison Pool, Yellowstone National Park",44.6,-110.9,,7.55,,,80 C,26884788,40864,1.0,80.0,7.55,7.55,7.55,7.55,0.0
2010170001,*Microbiome,Draft,"Hot spring microbial communities from Bison Spring, Yellowstone National Park, USA, analyzing thermal gradients",3_050719R,DOE Joint Genome Institute (JGI),2010170001.0,Metagenome Analysis,Gp0050996,"Bison Pool / Rosette Geyser, Yellowstone National Park",44.6,-110.9,,,,,80 C,28728092,43764,0.0,80.0,,,,,
2010170002,*Microbiome,Draft,"Hot spring microbial communities from Bison Spring, Yellowstone National Park, USA, analyzing thermal gradients",4_050719Q,DOE Joint Genome Institute (JGI),2010170002.0,Metagenome Analysis,Gp0050994,"Bison Pool / Rosette Geyser, Yellowstone National Park",44.6,-110.9,,,,,74 C,58029430,84577,1.0,74.0,,,,,
2012990006,*Microbiome,Permanent Draft,Hot spring microbial communities from Yellowstone National Park,"Hot spring microbial communities from Joseph's Coat Spring Transect A, Yellowstone National Park, USA - YSTONE1 (JC3A)",,2012990006.0,Metagenome Analysis,Gp0051306,"Joseph's Coat Spring Transect A, Yellowstone National Park, USA",44.731451,-110.7113131,,6-6.2,,,80 C,8157880,10153,1.0,80.0,,6.0,6.2,6.1,0.20000000000000018
2013515000,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP6 White Creek Site 3",DOE Joint Genome Institute (JGI),2013515000.0,Metagenome Analysis,Gp0051323,"Yellowstone National Park, WY",44.733519,-110.404033,,,,,50 C,38275783,55998,0.0,50.0,,,,,
2013515001,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - YNP8 OSP Spring",DOE Joint Genome Institute (JGI),2013515001.0,Metagenome Analysis,Gp0051324,"Yellowstone National Park, WY",44.733519,-110.7,,3.3,,,70 C,21158971,31788,2.0,70.0,3.3,3.3,3.3,3.3,0.0
2013843003,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP4 Joseph's Coat Springs",DOE Joint Genome Institute (JGI),2013843003.0,Metagenome Analysis,Gp0051338,"Yellowstone National Park, WY",44.733519,-110.333,,6.1,,,76 C,17963232,26307,3.0,76.0,6.1,6.1,6.1,6.1,0.0
2013954001,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - YNP14 OSP Spring",DOE Joint Genome Institute (JGI),2013954001.0,Metagenome Analysis,Gp0051332,"Yellowstone National Park, WY",44.733473,-110.70007,,3.5,,,73 C,16164785,24189,0.0,73.0,3.5,3.5,3.5,3.5,0.0
2014031002,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP1 Alice Springs, Crater Hills",DOE Joint Genome Institute (JGI),2014031002.0,Metagenome Analysis,Gp0051340,"Yellowstone National Park, WY",44.6533633,-110.4776669,,2.1,,,70 C,9888965,13855,0.0,70.0,2.1,2.1,2.1,2.1,0.0
2014031003,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP3 Monarch Geyser, Norris Geyser Basin",DOE Joint Genome Institute (JGI),2014031003.0,Metagenome Analysis,Gp0051342,"Yellowstone National Park, WY",44.7242925,-110.7056131,,4,,,80 C,12778632,20229,0.0,80.0,4.0,4.0,4.0,4.0,0.0
2014031004,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP9 Dragon Spring, Norris Geyser Basin",DOE Joint Genome Institute (JGI),2014031004.0,Metagenome Analysis,Gp0051343,"Yellowstone National Park, WY",44.7318889,-110.7110833,,3.1,,,70 C,18602353,27451,1.0,70.0,3.1,3.1,3.1,3.1,0.0
2014031005,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP12 Calcite Springs, Tower Falls Region",DOE Joint Genome Institute (JGI),2014031005.0,Metagenome Analysis,Gp0051344,"Yellowstone National Park, WY",44.90485,-110.404033,,7.8,,,70 C,16071904,23346,1.0,70.0,7.8,7.8,7.8,7.8,0.0
2014031006,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP7 Chocolate Pots",DOE Joint Genome Institute (JGI),2014031006.0,Metagenome Analysis,Gp0051243,"Yellowstone National Park, WY",44.710087,-110.7413395,,6,,,52.9 C,31857986,43900,1.0,52.9,6.0,6.0,6.0,6.0,0.0
2014031007,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP11 Octopus Springs",DOE Joint Genome Institute (JGI),2014031007.0,Metagenome Analysis,Gp0051345,"Yellowstone National Park, WY",44.5340836,-110.7978895,,7.9,,,82 C,28556353,44644,0.0,82.0,7.9,7.9,7.9,7.9,0.0
2015219000,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP19 Cistern Spring",DOE Joint Genome Institute (JGI),2015219000.0,Metagenome Analysis,Gp0051248,"Yellowstone National Park, WY",44.7230812,-110.7040247,,4.4,,,76 C,17628346,26749,2.0,76.0,4.4,4.4,4.4,4.4,0.0
2015219001,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP2 Nymph Lake 10",DOE Joint Genome Institute (JGI),2015219001.0,Metagenome Analysis,Gp0051341,"Yellowstone National Park, WY",44.7523206,-110.7253926,,3.75,,,90 C,5509727,10385,1.0,90.0,3.75,3.75,3.75,3.75,0.0
2015219002,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP15 Mushroom Spring",DOE Joint Genome Institute (JGI),2015219002.0,Metagenome Analysis,Gp0051220,"Yellowstone National Park, WY",44.538694,-110.797972,,8.2,,,59.9 C,45311652,76046,0.0,59.9,8.2,8.2,8.2,8.2,0.0
2016842001,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP3 Monarch Geyser, Norris Geyser Basin",DOE Joint Genome Institute (JGI),2016842001.0,Metagenome Analysis,Gp0051342,"Yellowstone National Park, WY",44.7242925,-110.7056131,,4,,,80 C,16091989,23521,1.0,80.0,4.0,4.0,4.0,4.0,0.0
2016842003,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP16 Fairy Spring Red Layer",DOE Joint Genome Institute (JGI),2016842003.0,Metagenome Analysis,Gp0051404,"Yellowstone National Park, WY",44.533365,-110.849887,,9-9.2,,,36 C,36317514,55048,0.0,36.0,,9.0,9.2,9.1,0.1999999999999993
2016842004,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18 Washburn Springs #1",DOE Joint Genome Institute (JGI),2016842004.0,Metagenome Analysis,Gp0051405,"Yellowstone National Park, WY",44.7649458,-110.4303679,,6.4,,,76 C,38709330,62242,0.0,76.0,6.4,6.4,6.4,6.4,0.0
2016842005,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP17 Obsidian Pool Prime",DOE Joint Genome Institute (JGI),2016842005.0,Metagenome Analysis,Gp0051383,"Yellowstone National Park, WY",44.733519,-110.404033,,5.7,,,56 C,24421805,38984,0.0,56.0,5.7,5.7,5.7,5.7,0.0
2016842008,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP20 Bath Lake Vista Annex - Purple-Sulfur Mats",DOE Joint Genome Institute (JGI),2016842008.0,Metagenome Analysis,Gp0051402,"Yellowstone National Park, WY",44.96507,-110.71215,,6.2-6.3,,,52 C,41493403,57652,0.0,52.0,,6.2,6.3,6.25,0.09999999999999964
2022827000,Bacteria,Finished,DOEM_782004,Leptolyngbya sp. JSC-1,DOE Joint Genome Institute (JGI),2022827000.0,Genome Analysis (Isolate),Gp0002250,"USA: Yellowstone National Park, Wyoming",44.5844249,-111.074468,,,,,45 C,7866824,6986,0.0,45.0,,,,,
2022920002,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP3 Monarch Geyser, Norris Geyser Basin",DOE Joint Genome Institute (JGI),2022920002.0,Metagenome Analysis,Gp0051342,"Yellowstone National Park, WY",44.7242925,-110.7056131,,4,,,80 C,17214260,31080,3.0,80.0,4.0,4.0,4.0,4.0,0.0
2022920003,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP5 Bath Lake Vista Annex",DOE Joint Genome Institute (JGI),2022920003.0,Metagenome Analysis,Gp0051291,"Yellowstone National Park, WY",44.96507,-110.71215,,6.2,,,57.6 C,31324257,50616,2.0,57.6,6.2,6.2,6.2,6.2,0.0
2022920004,*Microbiome,Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP6 White Creek Site 3",DOE Joint Genome Institute (JGI),2022920004.0,Metagenome Analysis,Gp0051323,"Yellowstone National Park, WY",44.733519,-110.404033,,,,,50 C,29209878,49180,0.0,50.0,,,,,
