,bin_name,completeness,contamination,quality,16S/23S/5SrRNAs,tRNAs,lineage,taxon_oid,temp,total_base,gene_count,copy_number,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project Type,GOLD Sequencing Project ID,Geographic Location,Latitude,Longitude,Oxygen Concentration,pH,Salinity,Salinity Concentration,Sample Collection Temperature,Genome Size   * assembled,Gene Count   * assembled,Genome Bin Count   * assembled,temperature_num,pH_num,pH_low,pH_high,pH_avg,pH_range,grs_present,estimated genome size
801,3300000866_7,92.2,1.1,HQ,,,Bacteria,3300000866,,2091707,2070,0,*Microbiome,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes","Hot spring sediment from Jinze in Tengchong, China",Stanford University,3300000866,Metagenome Analysis,Gp0056413,"Baoshan, Yunnan, China",25.44138,98.46004,,6.71,,,81.6 C,94676878,136697,16,81.6,6.71,6.71,6.71,6.71,0,0,102686418.7
730,3300003649_4,97.6,3.2,MQ,,,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter,3300003649,,1289371,1830,0,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Hot spring water microbial communities from Wilbur Hot Springs, California, USA - Wilbur Geyser funnel - 6/17/14",DOE Joint Genome Institute (JGI),3300003649,Metagenome Analysis,Gp0099076,"Wilbur Hot Springs, California, USA",39.039162,-122.42147,,7.98,,,47 C,27908441,52038,2,47,7.98,7.98,7.98,7.98,0,0,28594714.14
726,3300003902_3,86.4,3.47,MQ,,,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter,3300003902,,1170787,1681,0,*Microbiome,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Hot spring water microbial communities from Wilbur Hot Springs, California, USA - Wilbur Geyser tube - 6/17/14",DOE Joint Genome Institute (JGI),3300003902,Metagenome Analysis,Gp0099077,"Wilbur Hot Springs, California, USA",39.039162,-122.42147,,7.98,,,47 C,22469760,42155,3,47,7.98,7.98,7.98,7.98,0,0,26006666.67
732,3300005255_3,94.57,0,MQ,,,Archaea;Crenarchaeota;Thermoprotei,3300005255,,1634689,1870,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - surface sediment",DOE Joint Genome Institute (JGI),3300005255,Metagenome Analysis,Gp0051565,"Great Boiling Spring, Nevada",40.65833,-119.37772,,6.37,,,,20855182,26500,5,,6.37,6.37,6.37,6.37,0,0,22052640.37
844,3300005275_3,98.28,0,HQ,,,Bacteria,3300005275,,1916887,2228,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment CS 85C",DOE Joint Genome Institute (JGI),3300005275,Metagenome Analysis,Gp0052109,"Great Boiling Spring, Nevada",40.67,-119.37,,6.37,,,,93642314,164694,20,,6.37,6.37,6.37,6.37,0,0,95281149.78
845,3300005275_4,99.35,1.63,HQ,,,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus,3300005275,,1560035,1926,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment CS 85C",DOE Joint Genome Institute (JGI),3300005275,Metagenome Analysis,Gp0052109,"Great Boiling Spring, Nevada",40.67,-119.37,,6.37,,,,93642314,164694,20,,6.37,6.37,6.37,6.37,0,0,94254971.31
854,3300005275_5,92.64,3.75,MQ,,,Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfobacterium;Thermodesulfobacterium geofontis,3300005275,,1534541,1989,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment CS 85C",DOE Joint Genome Institute (JGI),3300005275,Metagenome Analysis,Gp0052109,"Great Boiling Spring, Nevada",40.67,-119.37,,6.37,,,,93642314,164694,20,,6.37,6.37,6.37,6.37,0,0,101081945.2
742,3300005278_1,87.27,1.01,MQ,,,Bacteria,3300005278,,2460965,2599,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,159186010.1
734,3300005278_11,88.79,0,MQ,,,Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga;Thermotoga hypogea,3300005278,,1423798,1564,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,156460897.6
735,3300005278_12,88.71,2.08,MQ,,,Archaea,3300005278,,1235830,1517,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,156601996.4
738,3300005278_16,91.12,1.4,MQ,,,Archaea,3300005278,,1099184,1380,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,152460086.7
739,3300005278_17,81.37,0,MQ,,,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus,3300005278,,1078656,1423,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,170728316.3
747,3300005278_2,97.17,1.45,MQ,,,Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis;Caldicellulosiruptor,3300005278,,2336424,2416,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,142967614.5
751,3300005278_5,83.05,0.85,MQ,,,Bacteria,3300005278,,1800889,2011,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,167274691.1
733,3300005278_6,94.46,1.79,HQ,,,Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga,3300005278,,1781521,1937,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,147069268.5
752,3300005278_7,94.92,0,MQ,,,Bacteria,3300005278,,1743486,2352,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,146356543.4
753,3300005278_8,96.55,0,MQ,,,Bacteria,3300005278,,1718679,1943,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,143885687.2
754,3300005278_9,85.44,3.39,MQ,,,Bacteria,3300005278,,1484563,1992,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",DOE Joint Genome Institute (JGI),3300005278,Metagenome Analysis,Gp0052039,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,138921631,254148,26,,6.37,6.37,6.37,6.37,0,0,162595541.9
628,3300005298_1,91.95,0.57,MQ,,,Bacteria,3300005298,,5265462,4429,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,163336264.3
624,3300005298_10,86.7,2.48,MQ,,,Bacteria,3300005298,,2105365,2145,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,173226868.5
617,3300005298_13,94.92,3.39,HQ,,,Bacteria,3300005298,,1950775,1893,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,158225553.1
625,3300005298_14,98.13,4.98,MQ,,,Archaea,3300005298,,1689987,2065,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,153049724.9
618,3300005298_15,100,0,HQ,,,Bacteria,3300005298,,1837169,1837,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,150187695
626,3300005298_17,99.35,0.65,MQ,,,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus,3300005298,,1726796,1985,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,151170302
620,3300005298_2,91.96,2.5,HQ,,,Bacteria,3300005298,,3879362,3700,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,163318502.6
619,3300005298_20,98.04,3.66,HQ,,,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus,3300005298,,1602040,1923,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,153190223.4
629,3300005298_22,97.12,4.27,MQ,,,Archaea,3300005298,,1465080,1750,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,154641366.4
631,3300005298_29,89.83,0,MQ,,,Bacteria,3300005298,,1308279,1373,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,167191021.9
621,3300005298_3,94.37,1.69,HQ,,,Bacteria,3300005298,,2604239,2088,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,159147711.1
639,3300005298_4,98.28,1.72,MQ,,,Bacteria,3300005298,,2544878,2505,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,152816132.5
622,3300005298_5,97.25,2.73,HQ,,,Bacteria,3300005298,,2533078,2393,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,154434647.8
623,3300005298_9,95.69,0,HQ,,,Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis;Caldicellulosiruptor,3300005298,,2236588,2350,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring sediment microbial communities from Great Boiling Spring, Nevada - Cellulolytic enrichment Sediment 77C",DOE Joint Genome Institute (JGI),3300005298,Metagenome Analysis,Gp0052398,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,150187695,231170,31,,6.37,6.37,6.37,6.37,0,0,156952340.9
646,3300005300_1,95.83,0,HQ,,,Bacteria,3300005300,,3021589,2867,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,130816140
644,3300005300_12,93.1,0.47,HQ,,,Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga;Thermotoga hypogea,3300005300,,1949833,2036,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,134652102
649,3300005300_13,98.28,0,MQ,,,Bacteria;Firmicutes,3300005300,,1859706,1975,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,127555053.9
650,3300005300_14,91.38,0,MQ,,,Bacteria,3300005300,,1861989,1898,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,137186591.2
645,3300005300_15,100,0,HQ,,,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus,3300005300,,1737762,2024,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,125361107
651,3300005300_16,98.55,0.84,MQ,,,Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfobacterium;Thermodesulfobacterium thermophilum,3300005300,,1609428,1665,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,127205588
660,3300005300_2,98.31,1.13,MQ,,,Bacteria;Bacteroidetes;Cytophagia;Rhodothermales;Rhodothermaceae;Rhodothermus;marinus,3300005300,,2825235,2580,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,127516129.6
653,3300005300_21,85.84,2.85,MQ,,,Bacteria,3300005300,,1357460,1534,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,146040432.2
654,3300005300_22,92.18,1.85,MQ,,,Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfobacterium,3300005300,,1340220,1453,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,135995993.7
655,3300005300_23,84.75,1.69,MQ,,,Bacteria,3300005300,,1333123,1446,0,*Microbiome,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada","Hot spring microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment S 77C",DOE Joint Genome Institute (JGI),3300005300,Metagenome Analysis,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,125361107,187608,30,,6.37,6.37,6.37,6.37,0,0,147918710.3
