,scaffold_oid,taxon_oid,completeness,contamination,quality,16S/23S/5SrRNAs,tRNAs,lineage,gene_oid,Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Scaffold ID,Scaffold Length (bp),Scaffold Read Depth,COG,Pfam,KO,Unnamed: 12,bin_name,total_base,gene_count
11,Ga0496362_001453,3300045873,85.98,1.87,medium,2,11,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__EX4484-205;f__;g__;s__,3300045873 assembled Ga0496362_001453_13961_15448,3300045873 assembled Ga0496362_001453_13961_15448,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_001453,17259,11,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10034,,
12,Ga0496362_003496,3300045873,95.33,2.88,medium,1,14,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__B24;g__B24;s__,3300045873 assembled Ga0496362_003496_4512_6008,3300045873 assembled Ga0496362_003496_4512_6008,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_003496,9313,8,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10041,,
13,Ga0496362_008201,3300045873,94.39,2.8,medium,2,14,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__,3300045873 assembled Ga0496362_008201_3074_4543,3300045873 assembled Ga0496362_008201_3074_4543,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_008201,4909,42,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10043,,
14,Ga0496362_000037,3300045873,98.13,0,medium,2,16,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__Methanomethylicaceae;g__WYZ-LMO11;s__WYZ-LMO11 sp004348015,3300045873 assembled Ga0496362_000037_89940_91469,3300045873 assembled Ga0496362_000037_89940_91469,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_000037,95109,15,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10046,,
15,Ga0496362_002605,3300045873,94.31,1.87,medium,1,7,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__;g__;s__,3300045873 assembled Ga0496362_002605_9880_11376,3300045873 assembled Ga0496362_002605_9880_11376,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_002605,11594,14,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10047,,
18,Ga0496362_000376,3300045873,98.13,3.74,medium,2,12,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__B26-1;g__;s__,3300045873 assembled Ga0496362_000376_23673_25256,3300045873 assembled Ga0496362_000376_23673_25256,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_000376,37835,18,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10005,,
19,Ga0496362_000921,3300045873,96.73,0.93,medium,1,18,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__B29-G17;f__;g__;s__,3300045873 assembled Ga0496362_000921_12378_13868,3300045873 assembled Ga0496362_000921_12378_13868,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_000921,23382,23,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10050,,
20,Ga0496362_001275,3300045873,95.33,0.93,medium,2,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Fervidicoccaceae;g__;s__,3300045873 assembled Ga0496362_001275_9968_11530,3300045873 assembled Ga0496362_001275_9968_11530,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_001275,18839,25,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10054,,
21,Ga0496362_000057,3300045873,95.33,0,medium,2,17,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__NZ13-MGT;g__NZ13-MG1;s__,3300045873 assembled Ga0496362_000057_21447_22916,3300045873 assembled Ga0496362_000057_21447_22916,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_000057,80848,10,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10055,,
22,Ga0496362_000388,3300045873,96.88,0.93,medium,2,15,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__HR02;g__;s__,3300045873 assembled Ga0496362_000388_5149_6690,3300045873 assembled Ga0496362_000388_5149_6690,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_000388,36982,9,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10061,,
23,Ga0496362_009356,3300045873,94.9,0.93,medium,2,9,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__;f__;g__;s__,3300045873 assembled Ga0496362_009356_655_2106,3300045873 assembled Ga0496362_009356_655_2106,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_009356,4449,7,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10062,,
26,Ga0496362_008751,3300045873,90.34,0,medium,2,9,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__NZ13-MGT;g__JGI-0000106-J15;s__,3300045873 assembled Ga0496362_008751_3146_4675,3300045873 assembled Ga0496362_008751_3146_4675,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_008751,4677,24,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10007,,
27,Ga0496362_001412,3300045873,98.13,0,medium,1,17,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__,3300045873 assembled Ga0496362_001412_8919_10340,3300045873 assembled Ga0496362_001412_8919_10340,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_001412,17635,163,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10071,,
30,Ga0496362_002817,3300045873,98.13,0,medium,2,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__NBVN01;g__Zestosphaera;s__,3300045873 assembled Ga0496362_002817_9139_10647,3300045873 assembled Ga0496362_002817_9139_10647,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045873,"Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01 (*) (MER-FS) (assembled)",1,Ga0496362_002817,10977,123,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045873_10009,,
31,Ga0496376_003015,3300045871,98.29,0,medium,2,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__AG1;g__;s__,3300045871 assembled Ga0496376_003015_4443_5936,3300045871 assembled Ga0496376_003015_4443_5936,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_003015,11985,76,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10011,,
32,Ga0496376_000084,3300045871,99.07,0,medium,2,16,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Ignisphaeraceae;g__Ignisphaera;s__,3300045871 assembled Ga0496376_000084_121616_123160,3300045871 assembled Ga0496376_000084_121616_123160,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000084,138853,15,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10016,,
33,Ga0496376_005193,3300045871,99.07,0,medium,2,16,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Ignisphaeraceae;g__Ignisphaera;s__,3300045871 assembled Ga0496376_005193_3929_5383,3300045871 assembled Ga0496376_005193_3929_5383,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_005193,7037,14,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10016,,
34,Ga0496376_000131,3300045871,99.07,0,medium,2,16,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Ignisphaeraceae;g__Ignisphaera;s__,3300045871 assembled Ga0496376_000131_85554_87119,3300045871 assembled Ga0496376_000131_85554_87119,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000131,108739,15,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10016,,
35,Ga0496376_000819,3300045871,97.2,1.87,medium,2,6,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__;g__;s__,3300045871 assembled Ga0496376_000819_17910_19454,3300045871 assembled Ga0496376_000819_17910_19454,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000819,35719,11,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10017,,
36,Ga0496376_004904,3300045871,92.52,0.93,medium,2,13,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__UBA285;s__,3300045871 assembled Ga0496376_004904_5660_7138,3300045871 assembled Ga0496376_004904_5660_7138,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_004904,7447,9,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10002,,
37,Ga0496376_000321,3300045871,94.39,3.27,medium,1,13,d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__Hadarchaeum;s__Hadarchaeum yellowstonense,3300045871 assembled Ga0496376_000321_25083_26573,3300045871 assembled Ga0496376_000321_25083_26573,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000321,66983,17,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10020,,
38,Ga0496376_002630,3300045871,99.07,0,medium,2,17,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__Methanomethylicaceae;g__WYZ-LMO10;s__WYZ-LMO10 sp004347955,3300045871 assembled Ga0496376_002630_1298_2812,3300045871 assembled Ga0496376_002630_1298_2812,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_002630,13554,13,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10021,,
39,Ga0496376_000094,3300045871,94.39,0,medium,1,16,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__NZ13-MGT;g__NZ13-MG1;s__,3300045871 assembled Ga0496376_000094_66096_67565,3300045871 assembled Ga0496376_000094_66096_67565,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000094,129119,134,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10026,,
40,Ga0496376_003256,3300045871,86.92,1.4,medium,2,15,d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__;g__;s__,3300045871 assembled Ga0496376_003256_7809_9374,3300045871 assembled Ga0496376_003256_7809_9374,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_003256,11184,6,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10027,,
41,Ga0496376_004724,3300045871,89.88,1.01,medium,2,12,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__UBA285;s__,3300045871 assembled Ga0496376_004724_1389_2936,3300045871 assembled Ga0496376_004724_1389_2936,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_004724,7802,6,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10028,,
44,Ga0496376_001282,3300045871,89.41,0,medium,2,12,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__NZ13-MGT;g__EX4484-121;s__,3300045871 assembled Ga0496376_001282_956_2512,3300045871 assembled Ga0496376_001282_956_2512,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_001282,25630,357,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10032,,
45,Ga0496376_000478,3300045871,94.39,1.87,medium,2,10,d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__;g__;s__,3300045871 assembled Ga0496376_000478_5932_7518,3300045871 assembled Ga0496376_000478_5932_7518,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000478,51859,70,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10034,,
46,Ga0496376_000181,3300045871,95.79,1.87,medium,2,8,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__;g__;s__,3300045871 assembled Ga0496376_000181_3731_5263,3300045871 assembled Ga0496376_000181_3731_5263,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000181,91094,21,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10042,,
47,Ga0496376_000551,3300045871,87.38,0.93,medium,2,5,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__B17-G15;s__,3300045871 assembled Ga0496376_000551_12332_13858,3300045871 assembled Ga0496376_000551_12332_13858,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000551,47090,356,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10043,,
49,Ga0496376_000080,3300045871,91.59,0.93,medium,2,12,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__EX4484-205;f__;g__;s__,3300045871 assembled Ga0496376_000080_77303_78790,3300045871 assembled Ga0496376_000080_77303_78790,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000080,150325,53,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10005,,
50,Ga0496376_000665,3300045871,91.59,0.93,medium,2,12,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__EX4484-205;f__;g__;s__,3300045871 assembled Ga0496376_000665_39164_40708,3300045871 assembled Ga0496376_000665_39164_40708,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_000665,40957,48,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10005,,
51,Ga0496376_002096,3300045871,99.07,0,medium,2,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__NBVN01;g__Zestosphaera;s__,3300045871 assembled Ga0496376_002096_5865_7373,3300045871 assembled Ga0496376_002096_5865_7373,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045871,"Hot spring sediment microbial communities from the Sylvan Springs Area, Yellowstone National Park, WY, United States - MSUNE_S_04 (*) (MER-FS) (assembled)",1,Ga0496376_002096,16663,245,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045871_10050,,
